Region,Synnex: (2020)
South Carolina,100
Mississippi,33
California,26
Connecticut,25
Tennessee,22
Minnesota,21
Colorado,19
Iowa,19
Arizona,18
Oregon,18
Illinois,18
Virginia,17
New Jersey,17
Texas,16
Ohio,16
North Carolina,15
Massachusetts,15
Georgia,14
Washington,14
Utah,13
New Hampshire,12
Wisconsin,12
Florida,12
Pennsylvania,12
Michigan,12
Kentucky,11
Nevada,11
New York,10
Alabama,10
District of Columbia,9
Missouri,8
Maryland,7
Indiana,7
Maine,7
Nebraska,5
Arkansas,4
Kansas,4
New Mexico,
Idaho,
Oklahoma,
Rhode Island,
Hawaii,
Louisiana,
Alaska,
Delaware,
Montana,
North Dakota,
South Dakota,
Vermont,
West Virginia,
Wyoming,
