Region,Dollar Tree: (2020)
Kentucky,100
Delaware,100
Mississippi,98
Louisiana,96
Illinois,95
Rhode Island,94
Missouri,93
West Virginia,92
Oklahoma,92
Florida,91
Georgia,89
Indiana,88
Arkansas,88
Tennessee,87
Alabama,87
Pennsylvania,86
Michigan,86
Ohio,86
New Mexico,84
South Carolina,84
Texas,83
Kansas,82
Wisconsin,81
Virginia,79
Iowa,78
Maryland,76
North Carolina,76
Utah,76
Idaho,75
Arizona,72
New Jersey,72
Nevada,69
Nebraska,69
Minnesota,68
Washington,65
Massachusetts,65
Maine,64
Oregon,63
North Dakota,63
Connecticut,63
New Hampshire,63
South Dakota,63
Colorado,62
Montana,61
New York,59
California,58
Wyoming,55
District of Columbia,41
Vermont,41
Alaska,13
Hawaii,8
