Region,Cummins: (2020)
Wyoming,100
Montana,68
Idaho,61
North Dakota,56
Alaska,55
West Virginia,45
New Mexico,44
Kansas,44
Utah,44
Indiana,42
South Dakota,41
Iowa,38
Nebraska,37
Kentucky,35
Oklahoma,35
Missouri,34
Oregon,34
Colorado,32
Arkansas,31
Washington,31
Tennessee,31
Texas,27
Wisconsin,26
Minnesota,25
Arizona,25
Ohio,24
Vermont,23
Mississippi,23
Pennsylvania,22
Alabama,22
North Carolina,21
Maine,21
Louisiana,21
Nevada,19
Michigan,19
Georgia,19
South Carolina,18
Illinois,18
Virginia,17
New Hampshire,17
Delaware,16
Connecticut,15
Florida,14
California,14
Hawaii,12
Maryland,12
Rhode Island,11
New York,10
New Jersey,10
Massachusetts,9
District of Columbia,4
