Region,United Natural Foods: (2020)
Minnesota,100
Rhode Island,81
Washington,59
New Hampshire,53
Vermont,49
North Dakota,49
Oregon,42
District of Columbia,36
Wisconsin,35
Connecticut,34
Colorado,32
California,30
Montana,29
Massachusetts,28
Maryland,26
Pennsylvania,25
Illinois,25
Iowa,24
Idaho,22
New York,21
Hawaii,21
Maine,20
New Jersey,20
Virginia,20
Florida,19
South Carolina,16
Arizona,15
Mississippi,15
Indiana,15
Nevada,14
North Carolina,14
Georgia,14
Alabama,14
New Mexico,12
Texas,11
Nebraska,10
Missouri,10
Oklahoma,10
Michigan,10
Arkansas,8
Kansas,8
Ohio,8
Utah,7
Tennessee,7
Delaware,7
Louisiana,6
Kentucky,3
Alaska,
Wyoming,
West Virginia,
South Dakota,
