Region,Micron Technology: (2020)
Idaho,100
Utah,15
Hawaii,10
Rhode Island,9
District of Columbia,9
Virginia,8
South Dakota,7
California,7
Oregon,7
Maine,7
Delaware,6
Alaska,6
Washington,5
Connecticut,5
Missouri,5
Arizona,5
New Jersey,5
Colorado,5
Massachusetts,5
New York,5
Maryland,4
Minnesota,4
Vermont,4
Illinois,4
Nebraska,4
Texas,4
North Dakota,4
Florida,4
Nevada,3
New Mexico,3
Wisconsin,3
Michigan,3
Pennsylvania,3
Mississippi,3
Ohio,3
Montana,3
Georgia,3
South Carolina,3
Alabama,3
Iowa,3
New Hampshire,2
North Carolina,2
Kansas,2
Oklahoma,2
Arkansas,2
Kentucky,2
Indiana,2
Tennessee,2
Louisiana,2
Wyoming,1
West Virginia,1
