Region,Amgen: (2020)
Rhode Island,100
California,15
District of Columbia,13
Massachusetts,12
New Jersey,10
Connecticut,9
South Dakota,8
Washington,7
Vermont,7
Maine,7
Pennsylvania,6
New York,6
Virginia,6
Florida,6
North Carolina,5
Illinois,5
Arizona,5
Minnesota,5
Montana,5
New Hampshire,5
Missouri,5
Maryland,4
Kentucky,4
Oregon,4
Delaware,4
Ohio,4
Georgia,4
Indiana,3
Texas,3
Hawaii,3
Tennessee,3
Michigan,3
Utah,3
Idaho,3
Nebraska,3
South Carolina,3
Mississippi,3
Colorado,3
Arkansas,3
Kansas,2
Iowa,2
Wisconsin,2
West Virginia,2
Louisiana,2
Nevada,2
Oklahoma,2
Alabama,2
Alaska,1
New Mexico,1
North Dakota,
Wyoming,
