Region,Penske Automotive Group: (2020)
Rhode Island,100
Connecticut,78
Arizona,67
New Mexico,42
District of Columbia,40
Texas,40
Arkansas,25
Georgia,20
Oregon,19
Wisconsin,17
New Jersey,17
California,17
Kentucky,16
Massachusetts,15
Ohio,15
Michigan,14
Maryland,14
Virginia,14
Minnesota,14
Indiana,13
Florida,12
Missouri,10
New York,9
Washington,8
Pennsylvania,7
Illinois,6
North Carolina,4
Tennessee,3
Vermont,
Nebraska,
Alabama,
Mississippi,
Nevada,
Utah,
Alaska,
Colorado,
Delaware,
Hawaii,
Iowa,
Idaho,
Kansas,
Louisiana,
Maine,
Montana,
North Dakota,
New Hampshire,
Oklahoma,
South Carolina,
South Dakota,
West Virginia,
Wyoming,
