Region,Visa: (2020)
North Dakota,100
South Dakota,98
New Jersey,81
New York,80
Hawaii,80
California,78
Vermont,78
Montana,77
Virginia,77
Maryland,75
Delaware,74
Minnesota,74
Connecticut,73
Massachusetts,72
New Hampshire,72
Nebraska,72
District of Columbia,71
Oregon,70
Pennsylvania,70
Maine,70
Illinois,70
Kansas,70
Rhode Island,69
Washington,69
Florida,69
Michigan,68
Nevada,68
Ohio,67
Iowa,67
Colorado,67
Arizona,66
Kentucky,65
Alabama,64
Alaska,64
Missouri,64
Utah,64
Wisconsin,64
West Virginia,63
North Carolina,62
South Carolina,62
Wyoming,62
Georgia,62
Indiana,62
Louisiana,62
Tennessee,61
New Mexico,60
Texas,58
Idaho,57
Oklahoma,56
Mississippi,54
Arkansas,52
