Region,Broadcom Corporation: (2020)
California,100
Colorado,97
Vermont,69
Massachusetts,66
New York,63
District of Columbia,62
Washington,57
Minnesota,51
Maryland,51
New Hampshire,51
New Jersey,50
Oregon,50
Arizona,47
Virginia,46
Wyoming,44
Pennsylvania,42
Idaho,41
Illinois,39
Alaska,38
Tennessee,37
Ohio,36
Connecticut,34
Arkansas,34
Texas,34
Georgia,33
Florida,33
Iowa,33
Maine,32
Delaware,32
North Carolina,31
West Virginia,31
Nevada,29
Michigan,29
South Carolina,28
Utah,28
Indiana,27
Kentucky,26
Rhode Island,25
Oklahoma,25
Hawaii,24
Montana,23
Louisiana,21
Missouri,19
Mississippi,19
Wisconsin,18
Kansas,16
Nebraska,16
North Dakota,15
Alabama,14
New Mexico,11
South Dakota,
