Region,Nucor: (2020)
Nebraska,100
Arkansas,70
Alabama,65
South Carolina,61
Indiana,49
Kentucky,42
Utah,36
Missouri,28
Mississippi,27
North Carolina,19
South Dakota,18
Illinois,18
Idaho,17
Ohio,17
Tennessee,17
Washington,13
Florida,11
Texas,11
Georgia,11
Montana,10
Louisiana,10
Virginia,9
Pennsylvania,9
Iowa,8
West Virginia,8
New Jersey,8
Colorado,8
Minnesota,7
Kansas,7
Connecticut,7
Delaware,7
New York,6
Wisconsin,6
Michigan,5
Oklahoma,5
Massachusetts,5
District of Columbia,4
Arizona,4
Maryland,4
Vermont,4
Oregon,3
California,3
Nevada,3
Rhode Island,2
New Hampshire,2
New Mexico,1
Wyoming,
Alaska,
Hawaii,
Maine,
North Dakota,
