Region,Gilead Sciences: (2020)
California,100
District of Columbia,94
New Jersey,84
Massachusetts,82
New York,68
Connecticut,68
Maryland,67
Hawaii,63
Washington,59
Illinois,57
Florida,53
Pennsylvania,52
Virginia,50
Maine,46
Colorado,45
Rhode Island,45
Arizona,44
Minnesota,44
North Carolina,43
Michigan,42
Alaska,42
Kansas,42
Delaware,42
Nevada,41
Montana,40
Oregon,40
Missouri,37
Georgia,37
Texas,37
Ohio,37
Vermont,36
Wisconsin,36
New Hampshire,35
Nebraska,35
Indiana,34
South Carolina,33
Iowa,33
Kentucky,32
Alabama,31
Utah,30
Tennessee,28
Idaho,28
Arkansas,27
New Mexico,26
Wyoming,25
West Virginia,25
Louisiana,24
South Dakota,24
Oklahoma,23
North Dakota,22
Mississippi,22
