Region,Southwest Airlines: (2020)
Nevada,100
New Mexico,84
Arizona,84
Colorado,81
Missouri,74
Maryland,62
Texas,62
Kansas,58
Rhode Island,57
Illinois,56
Nebraska,54
Hawaii,53
Oklahoma,53
District of Columbia,51
Indiana,50
Idaho,47
Florida,47
Tennessee,45
California,45
New Hampshire,44
Louisiana,43
Wisconsin,42
Utah,37
Delaware,33
Oregon,33
Georgia,31
Wyoming,31
Ohio,30
Washington,28
Arkansas,27
Kentucky,27
Pennsylvania,26
Alabama,26
Connecticut,25
Virginia,24
Massachusetts,23
Iowa,22
Minnesota,22
New York,21
Maine,21
North Carolina,20
Michigan,20
Mississippi,19
South Carolina,16
West Virginia,16
Vermont,15
New Jersey,10
South Dakota,10
Montana,8
North Dakota,7
Alaska,7
