Region,Halliburton: (2020)
Wyoming,100
Oklahoma,69
Texas,62
Louisiana,56
North Dakota,50
Alaska,40
Colorado,30
New Mexico,29
Montana,23
West Virginia,19
South Dakota,16
Kansas,14
District of Columbia,12
Mississippi,12
Arkansas,11
Utah,11
Vermont,10
Pennsylvania,10
Iowa,9
Ohio,9
Tennessee,9
Oregon,8
Idaho,8
South Carolina,8
New Jersey,8
New York,7
Kentucky,7
California,7
Arizona,7
Minnesota,7
Virginia,7
Nebraska,6
Connecticut,6
Illinois,6
Washington,6
Indiana,6
Wisconsin,6
Michigan,6
Alabama,6
Georgia,5
Nevada,5
Florida,5
North Carolina,5
Massachusetts,5
Delaware,5
New Hampshire,4
Missouri,4
Hawaii,4
Maine,4
Maryland,4
Rhode Island,1
