Region,International Paper: (2020)
Mississippi,100
Alabama,88
Tennessee,72
Louisiana,68
South Carolina,60
Georgia,46
Arkansas,39
Oregon,33
North Carolina,30
Indiana,29
Iowa,28
Kentucky,27
Illinois,22
Oklahoma,22
Wisconsin,20
Ohio,19
Maine,18
Virginia,18
Kansas,18
Texas,18
Minnesota,16
Missouri,16
Nebraska,15
Pennsylvania,14
Washington,13
California,12
Florida,12
New Jersey,11
New York,11
District of Columbia,10
Michigan,9
Connecticut,8
Arizona,8
New Mexico,7
Massachusetts,7
Rhode Island,6
Colorado,6
New Hampshire,5
Maryland,5
Nevada,5
Vermont,4
Utah,3
Alaska,
South Dakota,
Hawaii,
West Virginia,
Wyoming,
Delaware,
Idaho,
Montana,
North Dakota,
