Region,Eli Lilly and Company: (2020)
Indiana,100
District of Columbia,14
Illinois,11
New Jersey,10
Delaware,10
Nebraska,9
Pennsylvania,8
Wyoming,8
New Hampshire,8
Massachusetts,8
Rhode Island,8
New York,8
West Virginia,7
North Carolina,7
Maryland,7
Michigan,7
Ohio,7
Wisconsin,7
Florida,6
Mississippi,6
Connecticut,6
South Carolina,6
Montana,6
Missouri,6
Hawaii,6
Virginia,6
Kentucky,6
Oklahoma,6
Tennessee,6
Minnesota,6
Vermont,5
California,5
South Dakota,5
Arizona,5
Nevada,5
Alabama,5
Oregon,5
Arkansas,5
Louisiana,5
Georgia,5
Texas,5
Colorado,5
Washington,5
Maine,5
Kansas,5
Iowa,4
New Mexico,4
North Dakota,4
Utah,4
Alaska,3
Idaho,2
