Region,Aflac: (2020)
South Dakota,100
North Dakota,90
Alabama,74
Mississippi,67
Georgia,51
Montana,49
Louisiana,46
Arkansas,42
Oklahoma,41
Wyoming,41
Iowa,39
South Carolina,37
Florida,37
Nebraska,36
Kansas,36
Tennessee,35
Delaware,34
Missouri,34
Kentucky,34
Virginia,32
West Virginia,31
New Mexico,31
Maryland,31
North Carolina,31
Vermont,31
Hawaii,31
Michigan,31
District of Columbia,30
Maine,29
Indiana,29
Idaho,29
Pennsylvania,28
Rhode Island,27
New Jersey,25
New York,25
Texas,25
Nevada,25
Oregon,24
Connecticut,23
Ohio,23
Colorado,23
Illinois,21
California,21
Minnesota,20
Alaska,20
Wisconsin,19
New Hampshire,19
Washington,19
Arizona,18
Massachusetts,15
Utah,13
