Region,Lennar Corporation: (2020)
Nevada,100
Florida,88
Arizona,62
Minnesota,52
Texas,43
California,42
North Carolina,39
Colorado,38
Delaware,35
South Carolina,35
Indiana,32
Maryland,32
Utah,26
Georgia,25
Washington,24
Oregon,21
District of Columbia,16
Illinois,15
Virginia,13
New Jersey,13
Hawaii,11
Pennsylvania,9
Tennessee,9
New York,6
Connecticut,5
Alabama,5
Louisiana,5
Idaho,5
Rhode Island,5
Wisconsin,4
Oklahoma,4
Ohio,4
Michigan,3
Iowa,3
New Hampshire,3
New Mexico,3
Missouri,3
Massachusetts,3
Kansas,3
Kentucky,2
Nebraska,2
Arkansas,2
Mississippi,1
Alaska,
Montana,
North Dakota,
Maine,
Vermont,
West Virginia,
South Dakota,
Wyoming,
