Region,Occidental Petroleum: (2020)
Texas,100
Colorado,74
Wyoming,69
Louisiana,58
New Mexico,47
District of Columbia,43
Connecticut,42
New Jersey,41
California,41
Montana,39
Oklahoma,38
Delaware,38
Kansas,37
New York,35
Virginia,34
Idaho,33
Iowa,32
Rhode Island,31
Washington,31
North Dakota,30
Minnesota,30
Hawaii,30
Massachusetts,29
Florida,28
Illinois,27
Utah,27
Ohio,26
Oregon,26
Missouri,26
Nebraska,25
Arizona,25
Mississippi,25
North Carolina,24
Maryland,24
Arkansas,24
Nevada,22
Michigan,22
South Dakota,21
New Hampshire,21
South Carolina,21
Pennsylvania,21
Wisconsin,20
Georgia,20
Indiana,20
Alaska,18
Alabama,18
Tennessee,17
West Virginia,17
Kentucky,16
Maine,12
Vermont,4
