Region,Union Pacific Railroad: (2020)
Wyoming,100
Nebraska,85
Arkansas,26
Iowa,23
Kansas,21
Missouri,19
Idaho,18
Texas,14
Illinois,13
New Mexico,11
Oregon,11
Utah,11
Colorado,10
Louisiana,10
Nevada,8
Arizona,7
South Dakota,7
Wisconsin,7
California,7
Minnesota,6
Oklahoma,6
Washington,5
Montana,5
Mississippi,4
Indiana,4
District of Columbia,3
Tennessee,3
Pennsylvania,3
South Carolina,3
Georgia,3
Kentucky,3
North Dakota,2
Massachusetts,2
Ohio,2
Michigan,2
North Carolina,2
Maine,2
New Jersey,2
Maryland,2
New York,2
Alabama,2
Virginia,2
Hawaii,2
New Hampshire,2
Florida,2
West Virginia,2
Alaska,2
Connecticut,1
Delaware,1
Vermont,1
Rhode Island,1
