Region,Rite Aid: (2020)
Pennsylvania,100
New Hampshire,85
Delaware,80
Washington,55
Michigan,53
Oregon,49
New York,48
New Jersey,44
California,42
Ohio,39
Idaho,24
Virginia,24
Maryland,23
Vermont,23
Connecticut,23
West Virginia,16
Maine,14
Massachusetts,12
Rhode Island,11
Kentucky,10
District of Columbia,7
Nevada,4
Alabama,4
Tennessee,4
Georgia,4
North Carolina,3
Mississippi,3
South Carolina,3
Colorado,3
Utah,3
Indiana,2
Louisiana,2
Florida,2
Montana,2
Illinois,2
Arizona,2
Wyoming,2
Missouri,1
Texas,1
Arkansas,1
New Mexico,1
North Dakota,1
Hawaii,1
Minnesota,1
Kansas,1
Oklahoma,1
Iowa,1
Wisconsin,1
Nebraska,1
Alaska,1
South Dakota,<1
