Region,DuPont: (2020)
Delaware,100
District of Columbia,43
West Virginia,40
Virginia,22
New Jersey,18
Pennsylvania,17
Washington,16
Indiana,15
Rhode Island,14
North Carolina,14
South Carolina,14
Massachusetts,13
Maryland,13
Tennessee,13
Kentucky,13
Ohio,12
Iowa,12
Idaho,12
Louisiana,12
Vermont,11
Illinois,11
Michigan,11
Mississippi,11
Wisconsin,11
Connecticut,11
Nebraska,11
Kansas,11
New Hampshire,10
New York,10
Colorado,10
Minnesota,10
Alaska,10
Maine,9
Florida,9
California,9
Texas,9
Missouri,9
Montana,9
Arizona,8
Utah,8
Oregon,8
Georgia,8
Alabama,8
Nevada,8
Oklahoma,8
New Mexico,7
North Dakota,7
Arkansas,6
South Dakota,6
Hawaii,5
Wyoming,5
