Region,Southern Company: (2020)
Alabama,100
Georgia,65
Mississippi,25
South Carolina,8
Florida,7
Louisiana,7
North Carolina,6
Tennessee,6
Indiana,5
Arkansas,4
Michigan,4
Oklahoma,4
New Jersey,4
Virginia,4
Kentucky,4
District of Columbia,3
Colorado,3
New York,3
New Mexico,3
Illinois,3
Connecticut,3
Ohio,3
Wisconsin,2
Pennsylvania,2
Kansas,2
Missouri,2
Massachusetts,2
Texas,2
Arizona,2
New Hampshire,2
Delaware,2
Maryland,2
Washington,2
Oregon,2
Iowa,2
Minnesota,1
California,1
Utah,1
Nevada,1
West Virginia,1
Wyoming,
Montana,
Hawaii,
Vermont,
Rhode Island,
Maine,
North Dakota,
Idaho,
Alaska,
Nebraska,
South Dakota,
