Region,AutoNation: (2020)
Colorado,100
Arizona,83
Nevada,82
Texas,73
Florida,60
Georgia,37
Tennessee,34
Alabama,25
Mississippi,21
Washington,21
California,20
Wyoming,16
Maryland,14
Idaho,13
New Mexico,9
Louisiana,9
Virginia,8
Ohio,8
Minnesota,7
Arkansas,7
Illinois,7
Utah,6
District of Columbia,5
South Carolina,5
Nebraska,5
New York,4
Alaska,4
Wisconsin,4
New Hampshire,4
Montana,4
Vermont,4
North Carolina,4
Rhode Island,4
Oklahoma,3
Hawaii,3
Kentucky,3
Pennsylvania,3
Massachusetts,3
Michigan,3
Missouri,3
Oregon,3
Connecticut,3
Indiana,3
New Jersey,3
Kansas,3
Delaware,2
Maine,2
Iowa,2
West Virginia,1
North Dakota,
South Dakota,
