Region,DXC Technology: (2020)
Rhode Island,100
Connecticut,99
Arkansas,94
District of Columbia,87
South Carolina,80
Oklahoma,78
Delaware,74
Virginia,71
Louisiana,59
Maine,57
Georgia,54
New Jersey,52
Texas,51
New York,47
Massachusetts,44
North Carolina,37
Indiana,36
Pennsylvania,35
Kansas,35
Michigan,34
California,34
New Hampshire,34
Colorado,34
Washington,34
Alabama,34
Illinois,33
Minnesota,33
Maryland,32
Florida,31
West Virginia,30
Wisconsin,29
Vermont,27
Iowa,26
Arizona,25
Missouri,23
Tennessee,23
Ohio,22
Utah,22
Idaho,21
Kentucky,21
Nevada,20
Mississippi,19
New Mexico,17
Oregon,17
Hawaii,6
Wyoming,
South Dakota,
North Dakota,
Montana,
Alaska,
Nebraska,
