Region,McDonald's: (2020)
West Virginia,100
Indiana,100
Kentucky,98
Ohio,97
Missouri,94
Arkansas,93
Michigan,92
Illinois,91
Wisconsin,88
New Mexico,87
Oklahoma,85
Mississippi,83
Kansas,82
Iowa,82
Wyoming,82
Louisiana,82
Hawaii,82
Nebraska,81
Arizona,80
North Dakota,80
Minnesota,80
Alabama,78
Tennessee,78
Nevada,77
South Dakota,76
North Carolina,74
Georgia,73
Pennsylvania,73
Delaware,72
Idaho,72
Florida,71
Utah,71
Texas,70
South Carolina,70
Maryland,70
Alaska,70
Virginia,69
Maine,68
California,67
Colorado,67
Washington,66
Montana,65
Connecticut,64
Rhode Island,64
Oregon,62
New Hampshire,60
Vermont,58
Massachusetts,57
New York,57
New Jersey,54
District of Columbia,47
