Region,Marriott International: (2020)
District of Columbia,100
Hawaii,73
Florida,65
Maryland,61
Virginia,61
Utah,60
Georgia,55
Massachusetts,52
Arizona,51
South Carolina,50
Colorado,48
Alabama,48
Connecticut,46
New York,46
California,45
Texas,45
Tennessee,43
Nevada,43
Rhode Island,43
New Jersey,42
Nebraska,41
North Carolina,41
Louisiana,39
Delaware,38
Kansas,38
New Hampshire,38
Illinois,37
Pennsylvania,37
Ohio,37
Michigan,36
Mississippi,35
Kentucky,34
Indiana,32
Minnesota,32
Missouri,32
New Mexico,32
Montana,32
Iowa,30
Maine,29
West Virginia,29
Washington,29
Idaho,28
Oklahoma,27
Arkansas,26
Wyoming,25
Vermont,25
Wisconsin,25
Oregon,24
North Dakota,23
South Dakota,21
Alaska,18
