Region,ManpowerGroup: (2020)
Nevada,100
Wyoming,86
Michigan,83
Indiana,70
West Virginia,68
Kentucky,68
Missouri,67
North Carolina,65
Wisconsin,63
Illinois,53
Mississippi,51
Arkansas,50
Tennessee,42
Maine,42
Pennsylvania,41
South Carolina,40
Kansas,39
Virginia,34
New Mexico,33
Arizona,31
Alabama,31
Louisiana,30
Iowa,30
Texas,30
Ohio,29
Hawaii,29
Georgia,29
Rhode Island,27
Delaware,26
South Dakota,26
Washington,26
Idaho,25
California,22
Minnesota,22
Florida,21
Maryland,21
New Jersey,20
New York,18
Colorado,17
Nebraska,17
Oklahoma,17
District of Columbia,16
Oregon,15
Massachusetts,15
New Hampshire,14
Utah,14
Connecticut,14
Montana,10
North Dakota,8
Alaska,7
Vermont,6
