Region,BNY Mellon: (2020)
New Jersey,100
New York,60
Pennsylvania,59
Massachusetts,52
Delaware,50
District of Columbia,46
Connecticut,46
Rhode Island,24
New Hampshire,19
Florida,18
Minnesota,16
Vermont,16
Virginia,15
Maryland,15
Illinois,15
California,13
North Carolina,12
Missouri,12
South Carolina,12
Texas,11
Maine,11
Colorado,10
West Virginia,10
New Mexico,10
Kansas,10
Tennessee,10
Washington,10
Nevada,10
Georgia,10
Ohio,10
Hawaii,9
Idaho,9
Arkansas,9
Michigan,9
Oklahoma,9
Oregon,8
Indiana,8
Kentucky,8
Alabama,8
Utah,7
Arizona,6
Nebraska,5
Wisconsin,5
Iowa,5
Louisiana,2
Mississippi,2
Wyoming,
Alaska,
South Dakota,
North Dakota,
Montana,
