Region,The Hartford: (2020)
Connecticut,100
Vermont,32
Delaware,29
South Carolina,22
Maine,21
New Jersey,21
Arizona,21
Wisconsin,20
New York,20
Rhode Island,20
Wyoming,20
Maryland,19
Colorado,18
Massachusetts,18
Missouri,18
Indiana,17
North Carolina,17
Utah,17
Nevada,17
Illinois,16
Georgia,16
Montana,16
Tennessee,16
West Virginia,16
Alabama,16
Virginia,16
New Hampshire,15
New Mexico,15
Kansas,15
Michigan,15
Mississippi,15
Minnesota,15
Ohio,14
Florida,14
District of Columbia,14
Kentucky,14
Oklahoma,14
Texas,14
Pennsylvania,14
Washington,13
Oregon,12
California,11
Nebraska,11
Idaho,11
Iowa,11
Louisiana,10
North Dakota,10
Arkansas,10
South Dakota,8
Alaska,5
Hawaii,4
