Region,Danaher Corporation: (2020)
Massachusetts,100
Vermont,87
District of Columbia,77
New Hampshire,74
Iowa,68
Virginia,53
California,49
Illinois,48
Maine,48
Indiana,47
Colorado,42
Montana,39
New York,39
Maryland,38
Minnesota,37
Delaware,36
New Jersey,35
Ohio,34
Washington,33
Missouri,30
Connecticut,29
Kentucky,29
Texas,28
Wisconsin,27
South Carolina,26
Arkansas,25
North Carolina,25
Florida,25
Oregon,24
Arizona,23
Nevada,22
Rhode Island,22
Pennsylvania,20
Nebraska,18
Georgia,18
Kansas,17
Michigan,17
Louisiana,16
Tennessee,14
Oklahoma,14
Hawaii,14
Utah,13
New Mexico,9
Alabama,8
Mississippi,8
Idaho,6
West Virginia,
Alaska,
North Dakota,
South Dakota,
Wyoming,
