Region,Whirlpool Corporation: (2020)
Oklahoma,100
Iowa,97
Ohio,89
West Virginia,84
Tennessee,84
Indiana,84
South Dakota,83
Nebraska,83
Michigan,82
Mississippi,82
Missouri,81
Alabama,81
South Carolina,80
Kansas,78
Kentucky,77
North Carolina,77
Montana,75
Arkansas,74
Wyoming,72
Florida,72
Georgia,71
Delaware,70
Idaho,69
Louisiana,68
Alaska,68
Texas,67
Minnesota,66
Maine,66
North Dakota,66
Wisconsin,65
Virginia,65
Arizona,65
Utah,61
Washington,61
New Hampshire,60
Illinois,60
Pennsylvania,59
Hawaii,59
Rhode Island,58
Maryland,57
New Mexico,57
Colorado,56
Nevada,55
Oregon,55
New York,52
Connecticut,52
New Jersey,50
California,50
Massachusetts,48
Vermont,45
District of Columbia,38
