Region,AECOM: (2020)
District of Columbia,100
Virginia,47
Hawaii,47
Colorado,43
California,37
Maryland,36
New Jersey,36
New Mexico,35
Delaware,34
Massachusetts,32
New York,31
Rhode Island,31
Connecticut,28
New Hampshire,26
Georgia,25
Pennsylvania,25
Nebraska,25
North Carolina,24
Ohio,23
Illinois,22
Florida,21
Nevada,21
Texas,20
Louisiana,20
Idaho,20
Utah,18
Washington,18
Tennessee,18
Michigan,17
Missouri,16
South Carolina,16
Iowa,16
Minnesota,16
West Virginia,15
Arizona,15
Alabama,15
Indiana,15
Kansas,15
Wyoming,14
Arkansas,13
Alaska,13
Kentucky,12
Oregon,12
Wisconsin,11
Montana,11
North Dakota,10
Mississippi,5
Oklahoma,3
Maine,3
Vermont,
South Dakota,
