Region,Netflix: (2020)
Vermont,100
Rhode Island,92
Maine,91
New Jersey,91
Massachusetts,90
New Hampshire,88
California,88
Maryland,86
Connecticut,86
Washington,85
Hawaii,85
Montana,85
Delaware,84
District of Columbia,84
Oregon,84
Alaska,83
Illinois,83
Texas,81
Colorado,81
Minnesota,81
New York,81
Oklahoma,80
Arizona,79
New Mexico,79
Idaho,79
Virginia,79
Florida,78
Michigan,78
Utah,78
West Virginia,77
Arkansas,77
Iowa,77
Nevada,76
Kansas,76
Pennsylvania,76
Nebraska,76
North Carolina,76
Wyoming,76
Georgia,76
North Dakota,76
Kentucky,75
Louisiana,75
South Dakota,75
Missouri,75
Tennessee,75
Wisconsin,74
Mississippi,74
South Carolina,74
Indiana,74
Alabama,73
Ohio,72
