Region,Kohl's: (2020)
Wisconsin,100
Ohio,78
Indiana,78
Iowa,74
Michigan,74
Minnesota,68
New Hampshire,67
Illinois,66
Connecticut,65
West Virginia,63
South Dakota,62
Pennsylvania,62
Delaware,61
Rhode Island,61
Nebraska,60
Kentucky,59
Missouri,55
New Jersey,55
North Dakota,55
Massachusetts,50
Maine,50
Kansas,48
Maryland,46
Vermont,45
Arizona,44
Colorado,44
Virginia,42
Tennessee,42
Nevada,40
South Carolina,40
New York,40
Oklahoma,38
California,37
North Carolina,37
Georgia,36
Utah,36
Arkansas,36
Idaho,36
New Mexico,36
Alabama,33
Wyoming,33
Texas,33
Florida,31
Oregon,28
Montana,28
Washington,24
Mississippi,22
Louisiana,20
Alaska,19
District of Columbia,10
Hawaii,5
