Region,Lear Corporation: (2020)
Alabama,100
Michigan,96
Indiana,72
Utah,31
South Carolina,22
District of Columbia,18
Hawaii,18
Illinois,17
Kentucky,16
Texas,15
Georgia,15
Mississippi,15
Maine,14
North Carolina,12
Nevada,12
Kansas,11
Ohio,11
Iowa,10
Tennessee,10
Nebraska,10
Missouri,9
Washington,9
New York,8
Maryland,8
Massachusetts,7
Oklahoma,7
Pennsylvania,7
Arizona,7
West Virginia,7
California,7
Connecticut,7
Florida,6
Wisconsin,6
Louisiana,6
Arkansas,6
Minnesota,5
New Jersey,5
Virginia,5
Colorado,5
New Mexico,5
New Hampshire,3
Oregon,3
Alaska,
North Dakota,
Delaware,
Rhode Island,
Idaho,
Montana,
South Dakota,
Vermont,
Wyoming,
