Region,Performance Food Group: (2020)
Maine,100
Arkansas,68
Iowa,45
South Carolina,41
Tennessee,41
Delaware,40
Georgia,37
Virginia,35
Mississippi,33
New Hampshire,33
Louisiana,30
Kentucky,27
Texas,25
Illinois,24
Missouri,22
North Carolina,22
Massachusetts,22
Minnesota,21
Florida,20
Alabama,18
Vermont,18
New Jersey,17
Wisconsin,17
Maryland,17
Connecticut,16
Kansas,15
Rhode Island,15
District of Columbia,14
Indiana,13
Pennsylvania,13
Oregon,13
Colorado,13
New York,12
Ohio,12
Oklahoma,10
Arizona,9
California,7
Michigan,7
Washington,6
Nebraska,6
Nevada,4
Utah,2
Idaho,
North Dakota,
South Dakota,
West Virginia,
Wyoming,
New Mexico,
Montana,
Hawaii,
Alaska,
