Region,Avnet: (2020)
Arizona,100
New Hampshire,42
Massachusetts,30
Alabama,20
California,19
Colorado,19
District of Columbia,17
Nevada,16
Utah,15
New York,15
Illinois,13
Hawaii,13
Oregon,12
New Jersey,11
Florida,11
Texas,10
Tennessee,10
Indiana,10
Virginia,9
Iowa,9
Maryland,8
Ohio,8
North Carolina,8
Michigan,8
Washington,7
Minnesota,7
Pennsylvania,7
West Virginia,6
Wisconsin,6
Georgia,5
Connecticut,4
Mississippi,4
Kansas,3
Missouri,3
Kentucky,2
New Mexico,
Idaho,
Nebraska,
Arkansas,
Rhode Island,
Louisiana,
Alaska,
Delaware,
Maine,
Montana,
North Dakota,
Oklahoma,
South Carolina,
South Dakota,
Vermont,
Wyoming,
