Region,Synchrony Financial: (2020)
Florida,100
Texas,94
Arizona,93
Arkansas,89
New Mexico,82
Georgia,82
Nevada,81
Ohio,80
North Carolina,80
South Carolina,78
Oklahoma,77
Tennessee,77
West Virginia,76
Louisiana,75
Kentucky,75
Mississippi,75
Alabama,74
Delaware,74
Wyoming,73
Idaho,71
New Hampshire,69
Indiana,68
Virginia,68
California,68
Michigan,67
Illinois,66
Missouri,66
Maryland,65
Pennsylvania,65
Oregon,65
Utah,65
New Jersey,64
Colorado,64
Connecticut,64
South Dakota,62
Minnesota,59
Montana,59
Maine,59
New York,58
Rhode Island,57
Washington,55
Kansas,55
Wisconsin,55
Hawaii,54
Massachusetts,51
Iowa,50
Vermont,49
North Dakota,47
Nebraska,46
District of Columbia,46
Alaska,45
