Region,Genuine Parts Company: (2020)
Georgia,100
Alabama,57
West Virginia,55
North Carolina,53
Connecticut,44
Arizona,39
Washington,38
Indiana,36
Illinois,36
Louisiana,32
Florida,31
Oregon,31
New York,29
Mississippi,28
Virginia,27
Maryland,22
Colorado,21
Texas,21
New Jersey,21
Minnesota,21
Pennsylvania,21
Wisconsin,19
Kentucky,19
Utah,19
California,18
Massachusetts,18
Iowa,17
Michigan,17
Tennessee,16
Idaho,16
South Carolina,15
Nevada,15
Oklahoma,15
Ohio,15
Missouri,15
District of Columbia,12
Kansas,5
Alaska,
Maine,
Montana,
New Mexico,
Hawaii,
South Dakota,
New Hampshire,
Arkansas,
Nebraska,
Delaware,
Rhode Island,
North Dakota,
Vermont,
Wyoming,
