Region,NextEra Energy: (2020)
Florida,100
District of Columbia,56
Wyoming,52
New Hampshire,49
Iowa,36
Vermont,34
South Carolina,33
Wisconsin,33
Idaho,32
Kansas,32
New York,27
Utah,26
Maine,25
Delaware,25
Missouri,25
North Dakota,24
New Jersey,24
Colorado,23
Massachusetts,23
Washington,22
Texas,21
Oklahoma,20
Louisiana,20
Connecticut,19
Michigan,19
Nebraska,19
Virginia,19
Alabama,19
North Carolina,19
Oregon,19
Montana,18
Pennsylvania,18
Illinois,17
Georgia,17
Rhode Island,17
Maryland,16
California,15
Ohio,14
Tennessee,12
Nevada,11
Arizona,11
Indiana,11
Minnesota,10
Hawaii,9
Mississippi,9
Kentucky,9
New Mexico,8
Arkansas,5
West Virginia,3
Alaska,
South Dakota,
