Region,CarMax: (2020)
Nevada,100
South Carolina,86
Maryland,85
Virginia,85
Mississippi,83
Georgia,81
Tennessee,80
North Carolina,71
New Mexico,69
Louisiana,65
California,61
Alabama,61
Delaware,59
Kansas,56
Texas,55
Florida,52
Colorado,49
Illinois,47
District of Columbia,43
Connecticut,43
Rhode Island,39
Kentucky,37
Oklahoma,34
Arizona,34
Missouri,34
Indiana,32
Nebraska,31
Oregon,31
Wisconsin,30
Washington,29
Idaho,29
Maine,28
Massachusetts,26
Iowa,23
Ohio,22
Wyoming,22
New Hampshire,20
Utah,20
Pennsylvania,20
West Virginia,17
Minnesota,16
New Jersey,14
Arkansas,13
New York,11
Montana,10
Michigan,8
Vermont,8
Hawaii,6
North Dakota,5
Alaska,5
South Dakota,4
