Region,Tenet Healthcare: (2020)
Arizona,100
Texas,62
Alabama,52
Florida,52
Michigan,51
South Carolina,37
Tennessee,36
California,28
New Mexico,24
North Carolina,20
Massachusetts,19
Nebraska,19
Alaska,17
Missouri,16
Rhode Island,15
Oregon,15
Oklahoma,14
North Dakota,14
Iowa,13
Pennsylvania,13
Mississippi,13
Ohio,11
Utah,11
Connecticut,11
Illinois,11
Georgia,11
Maryland,10
Montana,10
Colorado,10
Minnesota,9
Kentucky,9
District of Columbia,9
Wisconsin,8
New Jersey,8
New York,8
Arkansas,8
Virginia,7
Kansas,7
Hawaii,7
Louisiana,7
Washington,7
New Hampshire,7
Nevada,6
Indiana,5
Delaware,
Idaho,
Maine,
South Dakota,
Vermont,
West Virginia,
Wyoming,
