Region,Kimberly-Clark: (2020)
Wisconsin,100
Arkansas,75
Oklahoma,68
Georgia,61
South Carolina,60
Utah,50
Alabama,48
Delaware,45
Mississippi,42
Connecticut,40
Tennessee,39
Maine,39
Illinois,38
West Virginia,37
Kentucky,37
Vermont,36
New York,35
Hawaii,34
Pennsylvania,33
New Jersey,31
Michigan,31
Massachusetts,31
District of Columbia,31
Texas,30
Oregon,28
Iowa,28
North Carolina,27
Minnesota,27
California,26
Nevada,25
New Hampshire,24
Virginia,24
Maryland,24
North Dakota,23
Rhode Island,23
Florida,23
Missouri,23
Washington,23
Louisiana,23
Indiana,23
Ohio,22
Colorado,20
Arizona,20
Wyoming,20
Idaho,18
Montana,17
Alaska,17
Kansas,15
New Mexico,13
Nebraska,13
South Dakota,9
