Region,Emerson Electric: (2020)
Missouri,100
Minnesota,70
Vermont,58
Iowa,50
Texas,49
Ohio,48
District of Columbia,43
New Hampshire,39
Illinois,38
Kansas,38
Louisiana,37
Arkansas,36
Kentucky,36
New Jersey,36
Massachusetts,35
North Dakota,35
Nevada,33
Michigan,33
Alaska,32
Oklahoma,32
Hawaii,32
Indiana,32
Wisconsin,31
Rhode Island,31
Pennsylvania,31
Idaho,31
New Mexico,31
Colorado,30
Virginia,28
Nebraska,27
Georgia,26
Connecticut,25
South Dakota,25
Maine,25
Oregon,25
Maryland,24
New York,23
Tennessee,23
Washington,23
Florida,23
California,23
Arizona,22
South Carolina,21
Alabama,20
Mississippi,20
North Carolina,19
Wyoming,19
Delaware,18
Utah,16
West Virginia,13
Montana,13
