Region,WestRock: (2020)
Alabama,100
Arkansas,98
Georgia,86
South Carolina,73
North Carolina,66
Tennessee,66
Virginia,60
South Dakota,57
Missouri,48
Kentucky,47
Idaho,41
North Dakota,38
Iowa,37
Minnesota,36
Illinois,35
Washington,32
Wisconsin,30
Indiana,29
Connecticut,25
Utah,23
Ohio,22
Texas,21
Louisiana,21
Michigan,21
Vermont,18
Pennsylvania,18
New York,17
West Virginia,16
Florida,16
Oregon,16
Massachusetts,16
Nevada,15
District of Columbia,14
Maryland,13
Colorado,13
Kansas,11
Maine,11
Nebraska,11
New Jersey,11
Mississippi,10
Oklahoma,9
Rhode Island,9
Arizona,8
California,8
Delaware,
Alaska,
New Mexico,
Montana,
New Hampshire,
Hawaii,
Wyoming,
