Region,CDW: (2020)
Illinois,100
District of Columbia,42
Wisconsin,39
New Hampshire,36
Vermont,36
North Dakota,35
Virginia,32
Indiana,32
Maryland,31
Massachusetts,30
New Jersey,30
Colorado,29
Alaska,29
Iowa,28
Connecticut,27
Michigan,27
Tennessee,27
Kentucky,27
Idaho,27
Minnesota,26
Montana,26
Delaware,26
Arizona,26
Nevada,25
Oregon,25
Hawaii,24
California,24
New York,24
Pennsylvania,24
Ohio,23
Rhode Island,22
South Dakota,22
Texas,22
North Carolina,22
Alabama,21
Washington,21
Kansas,21
West Virginia,20
Florida,20
Georgia,19
New Mexico,18
Missouri,18
South Carolina,18
Mississippi,16
Nebraska,16
Utah,16
Louisiana,16
Oklahoma,15
Arkansas,14
Maine,14
Wyoming,8
