Region,JLL: (2020)
District of Columbia,100
Illinois,77
New York,50
Virginia,47
New Jersey,46
Massachusetts,45
Connecticut,43
Texas,39
Georgia,38
North Carolina,38
Colorado,37
California,37
Maryland,34
Rhode Island,30
Pennsylvania,30
Florida,28
Oregon,28
Washington,27
Minnesota,25
Delaware,25
Ohio,25
Arizona,24
Kansas,24
South Carolina,23
Nevada,21
Tennessee,21
New Hampshire,20
Indiana,19
Missouri,18
Michigan,17
Hawaii,17
Iowa,16
Utah,15
Wisconsin,15
Maine,14
Idaho,12
Louisiana,11
Mississippi,10
New Mexico,10
Nebraska,10
Kentucky,9
Alabama,8
Arkansas,8
Oklahoma,8
Vermont,
North Dakota,
South Dakota,
West Virginia,
Montana,
Wyoming,
Alaska,
