Region,Sherwin-Williams: (2020)
Ohio,100
Kansas,87
Nebraska,83
South Carolina,81
Georgia,77
Iowa,76
North Carolina,75
Minnesota,75
South Dakota,74
Indiana,73
Michigan,73
Alabama,72
Delaware,72
Idaho,71
Washington,71
Arkansas,71
Montana,70
Wisconsin,70
Louisiana,70
Florida,68
Tennessee,68
Kentucky,68
Pennsylvania,66
New Mexico,66
Maine,66
Oregon,65
Missouri,65
Colorado,64
Oklahoma,64
Maryland,62
Mississippi,62
Texas,61
Illinois,60
Virginia,59
Vermont,56
Utah,56
West Virginia,56
New Hampshire,54
North Dakota,48
Connecticut,47
Alaska,45
Rhode Island,43
Wyoming,43
Arizona,42
New Jersey,41
Massachusetts,38
Nevada,33
District of Columbia,32
Hawaii,31
New York,29
California,27
