Region,Fluor Corporation: (2020)
South Carolina,100
Texas,33
District of Columbia,24
Idaho,22
Virginia,16
New Mexico,16
Louisiana,16
North Carolina,15
Colorado,14
New Hampshire,13
Delaware,13
Oregon,12
California,12
Georgia,10
Pennsylvania,10
Tennessee,10
Maryland,10
Utah,9
Alabama,9
New York,9
Connecticut,9
Kentucky,9
Arizona,8
New Jersey,8
Arkansas,8
Iowa,8
Florida,8
Washington,8
Hawaii,7
Illinois,7
Missouri,7
Ohio,7
Oklahoma,7
Massachusetts,6
Kansas,6
Nevada,6
Alaska,6
Michigan,6
Rhode Island,5
Nebraska,5
West Virginia,5
Mississippi,4
Wisconsin,4
Indiana,4
Minnesota,3
Wyoming,
Montana,
South Dakota,
Maine,
North Dakota,
Vermont,
