Region,PayPal: (2020)
West Virginia,100
Mississippi,88
Alabama,83
Kentucky,80
Louisiana,78
Oklahoma,77
Arkansas,77
Delaware,75
Tennessee,74
South Carolina,74
Maine,74
North Dakota,73
Missouri,73
Indiana,73
New Mexico,72
Montana,71
Ohio,70
Wyoming,70
Hawaii,70
Nevada,70
Michigan,70
Pennsylvania,70
Vermont,70
New Hampshire,70
Kansas,68
North Carolina,67
Florida,67
Arizona,67
Georgia,66
Wisconsin,66
Iowa,66
Maryland,65
Oregon,65
Idaho,65
Washington,64
South Dakota,64
Colorado,63
Rhode Island,62
Virginia,62
Illinois,61
Nebraska,61
Alaska,61
California,60
Texas,59
Utah,59
New York,59
Minnesota,58
New Jersey,58
District of Columbia,58
Connecticut,57
Massachusetts,55
