Region,D. R. Horton: (2020)
Nevada,100
Florida,95
South Carolina,94
Texas,93
Alabama,75
Arizona,71
Louisiana,68
Georgia,66
Utah,59
North Carolina,53
Delaware,52
New Mexico,46
Washington,43
Tennessee,41
Colorado,35
Hawaii,35
Minnesota,32
Mississippi,27
Oregon,23
Iowa,21
California,20
Maryland,19
New Jersey,15
Virginia,14
Arkansas,12
Illinois,12
Indiana,11
District of Columbia,10
Ohio,10
Oklahoma,8
Nebraska,8
Missouri,7
New York,7
Pennsylvania,6
Idaho,5
Connecticut,5
Kentucky,5
Alaska,5
Michigan,5
Massachusetts,4
Kansas,4
Wisconsin,4
New Hampshire,3
West Virginia,2
Vermont,
North Dakota,
Maine,
Rhode Island,
Montana,
South Dakota,
Wyoming,
