Region,HollyFrontier: (2020)
Wyoming,100
New Mexico,63
Oklahoma,48
Kansas,32
Utah,10
Texas,10
New Jersey,4
New York,3
Washington,3
Arizona,3
Illinois,3
Missouri,3
Colorado,3
Nebraska,2
Louisiana,2
Pennsylvania,2
Georgia,2
California,2
North Carolina,1
Ohio,1
Minnesota,1
Indiana,1
Florida,1
Massachusetts,1
Alaska,
Iowa,
South Dakota,
Idaho,
Delaware,
District of Columbia,
Arkansas,
Rhode Island,
New Hampshire,
Michigan,
Tennessee,
Wisconsin,
Mississippi,
South Carolina,
Nevada,
Connecticut,
Alabama,
Hawaii,
Kentucky,
Maryland,
Maine,
Montana,
North Dakota,
Oregon,
Virginia,
Vermont,
West Virginia,
