Region,Tenneco: (2020)
Arkansas,100
Nebraska,85
Michigan,46
Tennessee,25
Ohio,24
Illinois,16
Indiana,14
Alabama,11
Wisconsin,11
Virginia,11
Kentucky,7
Missouri,6
Minnesota,6
Iowa,5
South Carolina,5
Georgia,5
District of Columbia,4
Pennsylvania,4
Colorado,4
New York,3
Louisiana,3
Texas,3
Mississippi,3
Florida,3
New Jersey,3
North Carolina,3
Connecticut,3
Massachusetts,2
Arizona,2
California,2
Kansas,2
West Virginia,2
Maryland,2
Oklahoma,1
Washington,1
Wyoming,
North Dakota,
Delaware,
Utah,
Montana,
New Mexico,
Hawaii,
New Hampshire,
Nevada,
Alaska,
Idaho,
Maine,
Oregon,
Rhode Island,
South Dakota,
Vermont,
