Region,EOG Resources: (2020)
Wyoming,100
North Dakota,51
New Mexico,48
Texas,30
Oklahoma,26
Colorado,19
District of Columbia,10
Nebraska,9
Montana,9
Utah,8
Louisiana,7
New York,6
Connecticut,6
Idaho,5
Arizona,5
Missouri,5
Washington,5
Minnesota,4
Massachusetts,4
Nevada,4
Maryland,4
California,4
Florida,4
Virginia,4
New Jersey,4
Pennsylvania,4
North Carolina,4
Oregon,4
Illinois,3
Ohio,3
Arkansas,3
Georgia,3
Iowa,3
Tennessee,3
Mississippi,2
Wisconsin,2
Michigan,2
Kansas,2
Maine,2
South Carolina,2
Kentucky,1
Indiana,1
Alabama,1
South Dakota,
Delaware,
Alaska,
Vermont,
West Virginia,
Hawaii,
New Hampshire,
Rhode Island,
