Region,BD: (2020)
Nebraska,100
New Jersey,56
Maryland,43
Utah,41
District of Columbia,38
Massachusetts,37
Rhode Island,36
South Dakota,32
Connecticut,30
South Carolina,29
Illinois,27
Arizona,27
California,27
Pennsylvania,26
Georgia,25
New York,24
Maine,24
North Carolina,24
Virginia,23
Indiana,22
North Dakota,22
Tennessee,22
Texas,22
Kentucky,21
Ohio,21
Washington,21
New Hampshire,21
Wyoming,19
West Virginia,19
Missouri,19
Florida,19
Colorado,19
Delaware,19
Louisiana,18
Alaska,17
Montana,16
New Mexico,16
Oklahoma,15
Minnesota,15
Wisconsin,15
Mississippi,15
Arkansas,15
Kansas,15
Nevada,15
Alabama,14
Oregon,13
Michigan,13
Idaho,13
Hawaii,13
Iowa,12
Vermont,9
