Region,Lincoln National Corporation: (2020)
Delaware,100
Maine,81
New Hampshire,72
Indiana,59
North Carolina,48
Nebraska,47
Alaska,47
Pennsylvania,45
Kentucky,40
Maryland,39
New Jersey,39
Wyoming,39
Mississippi,37
Connecticut,35
Rhode Island,35
Tennessee,34
Virginia,34
Massachusetts,33
Wisconsin,32
South Carolina,31
Florida,30
Missouri,30
District of Columbia,30
New York,29
Iowa,29
Michigan,28
Oregon,28
Alabama,27
Georgia,25
Vermont,25
Ohio,25
Louisiana,24
New Mexico,24
Texas,23
Illinois,22
Arizona,22
Arkansas,22
Oklahoma,21
Colorado,21
California,20
North Dakota,20
Hawaii,20
Kansas,17
Montana,17
Minnesota,17
South Dakota,14
Washington,13
Nevada,12
Idaho,11
Utah,10
West Virginia,10
