Region,Pacific Gas and Electric Company: (2020)
California,100
Oregon,60
Washington,5
Nevada,5
Idaho,4
District of Columbia,4
Hawaii,3
Arizona,3
Montana,3
Utah,3
Colorado,2
Oklahoma,2
Connecticut,2
New Mexico,2
New York,2
Massachusetts,2
Kentucky,2
Texas,2
New Jersey,2
South Dakota,2
Alaska,2
Illinois,2
Minnesota,1
Maryland,1
Virginia,1
Pennsylvania,1
Michigan,1
Wisconsin,1
Rhode Island,1
West Virginia,1
North Carolina,1
Arkansas,1
Missouri,1
Kansas,1
Florida,1
Maine,1
Indiana,1
Tennessee,1
Louisiana,1
Georgia,1
Mississippi,1
Ohio,1
Alabama,1
Iowa,1
Delaware,1
South Carolina,1
Nebraska,1
Vermont,1
Wyoming,1
New Hampshire,1
North Dakota,<1
