Region,Salesforce: (2020)
District of Columbia,100
Massachusetts,79
Oregon,72
California,71
Colorado,70
New Hampshire,64
Illinois,63
New Jersey,62
Indiana,62
Virginia,61
Rhode Island,58
New York,57
Utah,55
Georgia,53
Minnesota,52
Washington,51
Maryland,47
Connecticut,46
Texas,45
Arizona,45
Vermont,43
Montana,41
North Carolina,41
Pennsylvania,40
Nebraska,40
Maine,38
Missouri,36
Florida,36
Tennessee,35
Iowa,33
Michigan,32
Ohio,32
Wisconsin,32
Kansas,31
Idaho,29
Delaware,29
Nevada,26
North Dakota,24
South Carolina,24
Wyoming,24
Hawaii,22
South Dakota,22
Louisiana,21
Kentucky,21
Alabama,20
Oklahoma,17
New Mexico,16
Arkansas,15
West Virginia,15
Alaska,12
Mississippi,11
