Region,Mastercard: (2020)
Maine,100
Vermont,61
Missouri,58
New Hampshire,58
Rhode Island,56
District of Columbia,54
Massachusetts,52
New York,51
Delaware,51
Connecticut,51
Hawaii,47
West Virginia,46
Florida,46
Virginia,45
Pennsylvania,44
New Jersey,44
South Carolina,43
North Carolina,43
Alabama,40
Nevada,40
Georgia,40
Maryland,40
Arkansas,40
Mississippi,39
Michigan,39
Tennessee,38
Arizona,38
Kentucky,37
Illinois,37
Oklahoma,36
North Dakota,36
Louisiana,35
Ohio,35
Minnesota,34
Indiana,34
Colorado,33
New Mexico,33
Texas,32
South Dakota,32
Nebraska,31
Wisconsin,31
Kansas,31
California,30
Iowa,30
Washington,29
Montana,29
Idaho,29
Wyoming,28
Alaska,27
Utah,26
Oregon,25
