Region,General Mills: (2020)
Minnesota,100
Iowa,35
Wisconsin,28
Missouri,27
New Mexico,27
North Dakota,26
Tennessee,25
Illinois,22
Vermont,21
Ohio,21
Montana,21
West Virginia,19
New Hampshire,18
Georgia,17
Indiana,17
New York,15
Pennsylvania,15
Arkansas,14
Michigan,14
Massachusetts,13
Maine,13
Idaho,13
District of Columbia,13
Colorado,12
North Carolina,12
South Dakota,12
Oregon,12
Kansas,12
New Jersey,11
Florida,11
Virginia,11
Utah,10
South Carolina,10
Maryland,10
California,9
Arizona,9
Oklahoma,9
Nebraska,9
Kentucky,9
Connecticut,9
Rhode Island,8
Texas,8
Washington,8
Delaware,7
Hawaii,7
Mississippi,7
Nevada,6
Wyoming,6
Louisiana,6
Alabama,6
Alaska,
