Region,Molina Healthcare: (2020)
Washington,100
New Mexico,53
Ohio,43
Michigan,41
Mississippi,38
Utah,33
South Carolina,32
Texas,29
Idaho,24
Wisconsin,24
Illinois,21
California,19
Florida,15
West Virginia,12
Oregon,8
Kentucky,8
New York,6
Missouri,5
District of Columbia,5
Tennessee,4
Montana,4
Nevada,4
Arizona,4
Virginia,3
Georgia,3
Colorado,3
North Carolina,3
Minnesota,3
Indiana,2
Connecticut,2
New Jersey,2
Hawaii,2
Arkansas,2
South Dakota,2
Louisiana,2
New Hampshire,2
Pennsylvania,2
Oklahoma,2
Kansas,2
Rhode Island,2
Massachusetts,2
Iowa,2
Wyoming,2
Alabama,2
Alaska,1
Maryland,1
Vermont,1
Maine,1
Nebraska,1
Delaware,1
North Dakota,
