Region,Cognizant: (2020)
Connecticut,100
New Jersey,92
District of Columbia,60
Illinois,60
New Hampshire,58
North Dakota,54
Arizona,53
Massachusetts,48
Virginia,47
North Carolina,46
Pennsylvania,45
Iowa,42
Colorado,42
California,41
Texas,40
New York,40
Delaware,39
Georgia,38
Oregon,37
Maryland,36
Rhode Island,35
Minnesota,35
Missouri,34
Michigan,34
Arkansas,32
Ohio,31
Indiana,31
Florida,31
Wyoming,29
Tennessee,28
New Mexico,27
Washington,27
Wisconsin,26
Nevada,26
Alaska,25
Kentucky,23
Montana,23
Vermont,23
South Carolina,22
Kansas,19
Alabama,19
Maine,19
Hawaii,19
Oklahoma,19
Nebraska,16
South Dakota,16
Mississippi,16
Utah,15
Idaho,12
West Virginia,12
Louisiana,11
