Region,Marsh & McLennan Companies: (2020)
New Jersey,100
Connecticut,89
New York,78
District of Columbia,73
Maine,72
Rhode Island,61
Massachusetts,57
Iowa,52
Kansas,51
Minnesota,47
Pennsylvania,45
New Hampshire,39
Kentucky,38
Virginia,37
Illinois,36
Wisconsin,31
Texas,30
Tennessee,30
Washington,29
Maryland,29
Missouri,28
California,27
Georgia,27
Colorado,26
Florida,26
Ohio,24
Alabama,21
North Carolina,21
Michigan,20
South Carolina,19
Nebraska,19
Arizona,18
Indiana,15
Nevada,12
Louisiana,10
Delaware,
North Dakota,
South Dakota,
Montana,
New Mexico,
Hawaii,
Utah,
Oklahoma,
Alaska,
Arkansas,
Idaho,
Mississippi,
Oregon,
Vermont,
West Virginia,
Wyoming,
