Region,XPO Logistics: (2020)
Indiana,100
Illinois,99
Kansas,99
Georgia,97
Iowa,96
Montana,92
Wisconsin,92
Michigan,86
Minnesota,80
North Carolina,79
Ohio,77
Idaho,76
Virginia,74
Arkansas,73
Tennessee,73
Utah,72
North Dakota,71
New Hampshire,70
South Carolina,67
Mississippi,67
Missouri,66
Texas,63
Pennsylvania,63
Oregon,63
Connecticut,63
Oklahoma,62
Nebraska,62
Nevada,60
Alabama,58
California,58
Colorado,56
New Jersey,54
Washington,53
Maine,52
Arizona,49
Rhode Island,49
Kentucky,48
Massachusetts,47
Maryland,47
South Dakota,46
Florida,44
New Mexico,43
West Virginia,43
New York,43
Vermont,41
Louisiana,38
Wyoming,32
Delaware,31
Alaska,28
Hawaii,15
District of Columbia,13
